Heure,Valeur
14517,8640
14527,5040
14537,2160
14547,5400
14557,2160
14567,3240
14577,9360
14587,7200
14597,3960
14607,3240
14617,5760
14627,4680
14637,720
14648,5040
14658,5760
14668,6120
14678,5760
14688,360
14698,5040
14708,3960
14718,7920
14728,720
14738,1080
14748,4680
14758,7560
14769,5040
14779,5760
14789,4680
14799,4680
14809,720
14819,5400
14829,4320
14839,7200
14849,2520
14859,2520
14869,720
14879,4320
14889,1800
14900,5400
14910,6480
14920,7920
14930,11880
14940,1080
14950,7920
14960,4320
14970,8640
14980,9000
14990,5760
15000,3960
15010,9360
15020,6120
15030,9000
15040,6840
15051,7560
15061,5760
15071,5760
15081,5400
15091,6120
15101,1440
15111,6840
15121,7200
15131,12960
15141,7200
15151,4320
